Engine 1 speed:4.15304, engine 2 speed: 4.76313, engine 3 speed: 4.31204, engine 4 speed: 4.77179
Engine 1 speed:4.31314, engine 2 speed: 4.76404, engine 3 speed: 4.1327, engine 4 speed: 4.79012
Engine 1 speed:4.18813, engine 2 speed: 4.77006, engine 3 speed: 4.24557, engine 4 speed: 4.79624
Engine 1 speed:4.23794, engine 2 speed: 4.827, engine 3 speed: 4.18838, engine 4 speed: 4.74668
Engine 1 speed:4.17078, engine 2 speed: 4.75449, engine 3 speed: 4.27398, engine 4 speed: 4.80076
Engine 1 speed:4.30541, engine 2 speed: 4.74229, engine 3 speed: 4.13224, engine 4 speed: 4.82006
Engine 1 speed:4.17636, engine 2 speed: 4.83378, engine 3 speed: 4.25631, engine 4 speed: 4.73355
Engine 1 speed:4.2643, engine 2 speed: 4.71197, engine 3 speed: 4.14962, engine 4 speed: 4.87412
Engine 1 speed:4.15653, engine 2 speed: 4.83861, engine 3 speed: 4.25707, engine 4 speed: 4.74779
Engine 1 speed:4.25335, engine 2 speed: 4.72958, engine 3 speed: 4.14428, engine 4 speed: 4.8728
Engine 1 speed:4.19214, engine 2 speed: 4.75662, engine 3 speed: 4.20229, engine 4 speed: 4.84896
Engine 1 speed:4.19046, engine 2 speed: 4.84938, engine 3 speed: 4.18814, engine 4 speed: 4.77202
Engine 1 speed:4.21035, engine 2 speed: 4.77979, engine 3 speed: 4.15532, engine 4 speed: 4.85454
Engine 1 speed:4.19796, engine 2 speed: 4.91451, engine 3 speed: 4.16079, engine 4 speed: 4.72674
Engine 1 speed:4.15165, engine 2 speed: 4.87856, engine 3 speed: 4.20781, engine 4 speed: 4.76198
Engine 1 speed:4.20411, engine 2 speed: 4.76352, engine 3 speed: 4.16661, engine 4 speed: 4.86576
Engine 1 speed:4.13501, engine 2 speed: 4.75196, engine 3 speed: 4.22224, engine 4 speed: 4.89079
Engine 1 speed:4.26007, engine 2 speed: 4.89058, engine 3 speed: 4.07968, engine 4 speed: 4.76967
Engine 1 speed:4.09163, engine 2 speed: 4.83714, engine 3 speed: 4.23778, engine 4 speed: 4.83346
Engine 1 speed:4.23237, engine 2 speed: 4.83648, engine 3 speed: 4.08068, engine 4 speed: 4.85047
Engine 1 speed:4.16598, engine 2 speed: 4.82009, engine 3 speed: 4.14952, engine 4 speed: 4.86442
